timestamp,road_id,road_type,road_capacity,latitude,longitude,vehicle_count,average_speed,weather_condition,temperature,rainfall,accident,traffic_density,previous_density
2026-06-19 00:00:00,R101,Highway,2000,40.7128,-74.006,343,100,Clear,23.7,0.0,0,17.15,
2026-06-19 01:00:00,R101,Highway,2000,40.7128,-74.006,395,100,Clear,23.7,0.0,0,19.75,17.15
2026-06-19 02:00:00,R101,Highway,2000,40.7128,-74.006,383,100,Clear,23.7,0.0,0,19.15,19.75
2026-06-19 03:00:00,R101,Highway,2000,40.7128,-74.006,397,100,Clear,23.7,0.0,0,19.85,19.15
2026-06-19 04:00:00,R101,Highway,2000,40.7128,-74.006,424,100,Clear,23.7,0.0,0,21.2,19.85
2026-06-19 05:00:00,R101,Highway,2000,40.7128,-74.006,414,100,Clear,23.7,0.0,0,20.7,21.2
2026-06-19 06:00:00,R101,Highway,2000,40.7128,-74.006,351,100,Clear,23.7,0.0,0,17.55,20.7
2026-06-19 07:00:00,R101,Highway,2000,40.7128,-74.006,1660,45,Clear,23.7,0.0,0,83.0,17.55
2026-06-19 08:00:00,R101,Highway,2000,40.7128,-74.006,1969,35,Clear,23.7,0.0,0,98.45,83.0
2026-06-19 09:00:00,R101,Highway,2000,40.7128,-74.006,1662,45,Clear,23.7,0.0,0,83.1,98.45
2026-06-19 10:00:00,R101,Highway,2000,40.7128,-74.006,1371,56,Clear,23.7,0.0,0,68.55,83.1
2026-06-19 11:00:00,R101,Highway,2000,40.7128,-74.006,1070,70,Clear,23.7,0.0,0,53.5,68.55
2026-06-19 12:00:00,R101,Highway,2000,40.7128,-74.006,1150,66,Clear,23.7,0.0,0,57.5,53.5
2026-06-19 13:00:00,R101,Highway,2000,40.7128,-74.006,1218,62,Clear,23.7,0.0,0,60.9,57.5
2026-06-19 14:00:00,R101,Highway,2000,40.7128,-74.006,1184,64,Clear,23.7,0.0,0,59.2,60.9
2026-06-19 15:00:00,R101,Highway,2000,40.7128,-74.006,1052,71,Clear,23.7,0.0,0,52.6,59.2
2026-06-19 16:00:00,R101,Highway,2000,40.7128,-74.006,2022,34,Clear,23.7,0.0,0,101.1,52.6
2026-06-19 17:00:00,R101,Highway,2000,40.7128,-74.006,1899,37,Clear,23.7,0.0,0,94.95,101.1
2026-06-19 18:00:00,R101,Highway,2000,40.7128,-74.006,1903,37,Clear,23.7,0.0,0,95.15,94.95
2026-06-19 19:00:00,R101,Highway,2000,40.7128,-74.006,1866,38,Clear,23.7,0.0,0,93.3,95.15
2026-06-19 20:00:00,R101,Highway,2000,40.7128,-74.006,420,100,Clear,23.7,0.0,0,21.0,93.3
2026-06-19 21:00:00,R101,Highway,2000,40.7128,-74.006,343,100,Clear,23.7,0.0,0,17.15,21.0
2026-06-19 22:00:00,R101,Highway,2000,40.7128,-74.006,372,100,Clear,23.7,0.0,0,18.6,17.15
2026-06-19 23:00:00,R101,Highway,2000,40.7128,-74.006,436,100,Clear,23.7,0.0,0,21.8,18.6
2026-06-20 00:00:00,R101,Highway,2000,40.7128,-74.006,356,100,Clear,30.5,0.0,0,17.8,21.8
2026-06-20 01:00:00,R101,Highway,2000,40.7128,-74.006,367,100,Clear,30.5,0.0,0,18.35,17.8
2026-06-20 02:00:00,R101,Highway,2000,40.7128,-74.006,398,100,Clear,30.5,0.0,0,19.9,18.35
2026-06-20 03:00:00,R101,Highway,2000,40.7128,-74.006,355,100,Clear,30.5,0.0,0,17.75,19.9
2026-06-20 04:00:00,R101,Highway,2000,40.7128,-74.006,366,100,Clear,30.5,0.0,0,18.3,17.75
2026-06-20 05:00:00,R101,Highway,2000,40.7128,-74.006,368,100,Clear,30.5,0.0,0,18.4,18.3
2026-06-20 06:00:00,R101,Highway,2000,40.7128,-74.006,358,100,Clear,30.5,0.0,0,17.9,18.4
2026-06-20 07:00:00,R101,Highway,2000,40.7128,-74.006,343,100,Clear,30.5,0.0,0,17.15,17.9
2026-06-20 08:00:00,R101,Highway,2000,40.7128,-74.006,443,100,Clear,30.5,0.0,0,22.15,17.15
2026-06-20 09:00:00,R101,Highway,2000,40.7128,-74.006,415,100,Clear,30.5,0.0,0,20.75,22.15
2026-06-20 10:00:00,R101,Highway,2000,40.7128,-74.006,429,100,Clear,30.5,0.0,0,21.45,20.75
2026-06-20 11:00:00,R101,Highway,2000,40.7128,-74.006,1262,60,Clear,30.5,0.0,0,63.1,21.45
2026-06-20 12:00:00,R101,Highway,2000,40.7128,-74.006,1463,52,Clear,30.5,0.0,0,73.15,63.1
2026-06-20 13:00:00,R101,Highway,2000,40.7128,-74.006,1261,60,Clear,30.5,0.0,0,63.05,73.15
2026-06-20 14:00:00,R101,Highway,2000,40.7128,-74.006,1367,56,Clear,30.5,0.0,0,68.35,63.05
2026-06-20 15:00:00,R101,Highway,2000,40.7128,-74.006,1537,49,Clear,30.5,0.0,0,76.85,68.35
2026-06-20 16:00:00,R101,Highway,2000,40.7128,-74.006,1269,60,Clear,30.5,0.0,0,63.45,76.85
2026-06-20 17:00:00,R101,Highway,2000,40.7128,-74.006,1082,69,Clear,30.5,0.0,0,54.1,63.45
2026-06-20 18:00:00,R101,Highway,2000,40.7128,-74.006,1320,58,Clear,30.5,0.0,0,66.0,54.1
2026-06-20 19:00:00,R101,Highway,2000,40.7128,-74.006,1249,61,Clear,30.5,0.0,0,62.45,66.0
2026-06-20 20:00:00,R101,Highway,2000,40.7128,-74.006,1347,57,Clear,30.5,0.0,0,67.35,62.45
2026-06-20 21:00:00,R101,Highway,2000,40.7128,-74.006,357,100,Clear,30.5,0.0,0,17.85,67.35
2026-06-20 22:00:00,R101,Highway,2000,40.7128,-74.006,403,100,Clear,30.5,0.0,0,20.15,17.85
2026-06-20 23:00:00,R101,Highway,2000,40.7128,-74.006,427,100,Clear,30.5,0.0,0,21.35,20.15
2026-06-21 00:00:00,R101,Highway,2000,40.7128,-74.006,456,100,Cloudy,21.5,0.0,0,22.8,21.35
2026-06-21 01:00:00,R101,Highway,2000,40.7128,-74.006,449,100,Cloudy,21.5,0.0,0,22.45,22.8
2026-06-21 02:00:00,R101,Highway,2000,40.7128,-74.006,443,100,Cloudy,21.5,0.0,0,22.15,22.45
