timestamp,road_id,road_capacity,latitude,longitude,vehicle_count,average_speed,temperature,rainfall,accident,traffic_density,previous_density,hour,day_of_week,month,is_weekend,is_peak_hour,congestion_level,density_lag_1,density_lag_2,density_lag_3,rolling_density,road_type_Highway,road_type_Residential,weather_condition_Cloudy,weather_condition_Heavy Rain,weather_condition_Rainy
2026-06-19 03:00:00,R101,2000,40.7128,-74.006,397.0,100,23.7,0.0,0,19.85,19.15,3,4,6,0,0,0,19.15,19.75,17.15,19.583333333333332,True,False,False,False,False
2026-06-19 04:00:00,R101,2000,40.7128,-74.006,424.0,100,23.7,0.0,0,21.2,19.85,4,4,6,0,0,0,19.85,19.15,19.75,20.066666666666666,True,False,False,False,False
2026-06-19 05:00:00,R101,2000,40.7128,-74.006,414.0,100,23.7,0.0,0,20.7,21.2,5,4,6,0,0,0,21.2,19.85,19.15,20.583333333333332,True,False,False,False,False
2026-06-19 06:00:00,R101,2000,40.7128,-74.006,351.0,100,23.7,0.0,0,17.55,20.7,6,4,6,0,0,0,20.7,21.2,19.85,19.816666666666666,True,False,False,False,False
2026-06-19 07:00:00,R101,2000,40.7128,-74.006,1660.0,45,23.7,0.0,0,83.0,17.55,7,4,6,0,1,3,17.55,20.7,21.2,40.416666666666664,True,False,False,False,False
2026-06-19 08:00:00,R101,2000,40.7128,-74.006,1969.0,35,23.7,0.0,0,98.45,83.0,8,4,6,0,1,3,83.0,17.55,20.7,66.33333333333333,True,False,False,False,False
2026-06-19 09:00:00,R101,2000,40.7128,-74.006,1662.0,45,23.7,0.0,0,83.1,98.45,9,4,6,0,1,3,98.45,83.0,17.55,88.18333333333334,True,False,False,False,False
2026-06-19 10:00:00,R101,2000,40.7128,-74.006,1371.0,56,23.7,0.0,0,68.55,83.1,10,4,6,0,0,2,83.1,98.45,83.0,83.36666666666666,True,False,False,False,False
2026-06-19 11:00:00,R101,2000,40.7128,-74.006,1070.0,70,23.7,0.0,0,53.5,68.55,11,4,6,0,0,1,68.55,83.1,98.45,68.38333333333333,True,False,False,False,False
2026-06-19 12:00:00,R101,2000,40.7128,-74.006,1150.0,66,23.7,0.0,0,57.5,53.5,12,4,6,0,0,1,53.5,68.55,83.1,59.85,True,False,False,False,False
2026-06-19 13:00:00,R101,2000,40.7128,-74.006,1218.0,62,23.7,0.0,0,60.9,57.5,13,4,6,0,0,2,57.5,53.5,68.55,57.300000000000004,True,False,False,False,False
2026-06-19 14:00:00,R101,2000,40.7128,-74.006,1184.0,64,23.7,0.0,0,59.2,60.9,14,4,6,0,0,1,60.9,57.5,53.5,59.199999999999996,True,False,False,False,False
2026-06-19 15:00:00,R101,2000,40.7128,-74.006,1052.0,71,23.7,0.0,0,52.6,59.2,15,4,6,0,0,1,59.2,60.9,57.5,57.56666666666666,True,False,False,False,False
2026-06-19 16:00:00,R101,2000,40.7128,-74.006,2022.0,34,23.7,0.0,0,101.1,52.6,16,4,6,0,1,3,52.6,59.2,60.9,70.96666666666665,True,False,False,False,False
2026-06-19 17:00:00,R101,2000,40.7128,-74.006,1899.0,37,23.7,0.0,0,94.95,101.1,17,4,6,0,1,3,101.1,52.6,59.2,82.88333333333334,True,False,False,False,False
2026-06-19 18:00:00,R101,2000,40.7128,-74.006,1903.0,37,23.7,0.0,0,95.15,94.95,18,4,6,0,1,3,94.95,101.1,52.6,97.06666666666668,True,False,False,False,False
2026-06-19 19:00:00,R101,2000,40.7128,-74.006,1866.0,38,23.7,0.0,0,93.3,95.15,19,4,6,0,1,3,95.15,94.95,101.1,94.46666666666665,True,False,False,False,False
2026-06-19 20:00:00,R101,2000,40.7128,-74.006,420.0,100,23.7,0.0,0,21.0,93.3,20,4,6,0,0,0,93.3,95.15,94.95,69.81666666666666,True,False,False,False,False
2026-06-19 21:00:00,R101,2000,40.7128,-74.006,343.0,100,23.7,0.0,0,17.15,21.0,21,4,6,0,0,0,21.0,93.3,95.15,43.81666666666666,True,False,False,False,False
2026-06-19 22:00:00,R101,2000,40.7128,-74.006,372.0,100,23.7,0.0,0,18.6,17.15,22,4,6,0,0,0,17.15,21.0,93.3,18.916666666666668,True,False,False,False,False
2026-06-19 23:00:00,R101,2000,40.7128,-74.006,436.0,100,23.7,0.0,0,21.8,18.6,23,4,6,0,0,0,18.6,17.15,21.0,19.183333333333334,True,False,False,False,False
2026-06-20 00:00:00,R101,2000,40.7128,-74.006,356.0,100,30.5,0.0,0,17.8,21.8,0,5,6,1,0,0,21.8,18.6,17.15,19.400000000000002,True,False,False,False,False
2026-06-20 01:00:00,R101,2000,40.7128,-74.006,367.0,100,30.5,0.0,0,18.35,17.8,1,5,6,1,0,0,17.8,21.8,18.6,19.316666666666666,True,False,False,False,False
2026-06-20 02:00:00,R101,2000,40.7128,-74.006,398.0,100,30.5,0.0,0,19.9,18.35,2,5,6,1,0,0,18.35,17.8,21.8,18.683333333333334,True,False,False,False,False
2026-06-20 03:00:00,R101,2000,40.7128,-74.006,355.0,100,30.5,0.0,0,17.75,19.9,3,5,6,1,0,0,19.9,18.35,17.8,18.666666666666668,True,False,False,False,False
2026-06-20 04:00:00,R101,2000,40.7128,-74.006,366.0,100,30.5,0.0,0,18.3,17.75,4,5,6,1,0,0,17.75,19.9,18.35,18.650000000000002,True,False,False,False,False
2026-06-20 05:00:00,R101,2000,40.7128,-74.006,368.0,100,30.5,0.0,0,18.4,18.3,5,5,6,1,0,0,18.3,17.75,19.9,18.150000000000002,True,False,False,False,False
2026-06-20 06:00:00,R101,2000,40.7128,-74.006,358.0,100,30.5,0.0,0,17.9,18.4,6,5,6,1,0,0,18.4,18.3,17.75,18.2,True,False,False,False,False
2026-06-20 07:00:00,R101,2000,40.7128,-74.006,343.0,100,30.5,0.0,0,17.15,17.9,7,5,6,1,1,0,17.9,18.4,18.3,17.816666666666666,True,False,False,False,False
2026-06-20 08:00:00,R101,2000,40.7128,-74.006,443.0,100,30.5,0.0,0,22.15,17.15,8,5,6,1,1,0,17.15,17.9,18.4,19.066666666666663,True,False,False,False,False
